day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:10:06;53050;20000;62000;46050;50050;59000;60050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:10:11;53050;20000;62000;46050;50050;62000;61050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:10:16;54050;20000;62000;46050;50050;61000;60050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:10:21;53050;20000;62000;46050;50050;62000;62050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:10:26;54050;20000;62000;46050;50050;67000;63050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:10:31;54050;20000;62000;46050;50050;58000;59050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:10:36;53050;20000;62000;46050;50050;57000;58050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:10:41;53050;20000;62000;46050;50050;60000;57050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:10:46;52050;20000;62000;46050;50050;60000;60050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:10:51;52050;20000;62000;46050;50050;62000;67050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:10:56;53050;20000;62000;46050;51050;59000;62050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:11:01;54050;20000;62000;46050;50050;79000;62050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:11:06;54050;20000;62000;46050;50050;63000;60050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:11:11;53050;20000;62000;46050;50050;57000;59050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:11:16;53050;20000;62000;46050;50050;70000;62050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:11:21;54050;20000;62000;46050;50050;62000;61050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:11:26;53050;20000;62000;46050;50050;62000;61050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:11:31;53050;20000;62000;46050;50050;60000;65050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
2023-08-21;18:11:36;53050;20000;62000;46050;50050;75000;60050
day;time;thermal_zone2;thermal_zone0;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone6;thermal_zone4
